Concept,Required for certificate?,Relates to question,Schema.org,DCAT,ADMS,VoID,CKAN API,Link Headers,HTML link/meta,RDFa,microdata,Datapackage,DSPL
Person (contact),No,,sdo:Person,foaf:Person,,,author,,,,,,
Contact Email,Yes,contactEmail,,,,,author_email,,,,,,
Organisation (owner),Yes,ownership,sdo:Organization,foaf:Organization,,,,,,,,,/provider/name
Publisher,Yes,publisher,sdo:publisher,dcterms:publisher,dcterms:publisher,,,,,,,publisher,
Author,No,,,,,,,,"author (link, meta, a)",,,,
Author Email,No,,,,,,,,,,,,
Maintainer,No,,,,,,maintainer,,,,,maintainers['name'],
Maintainer Email,No,,,,,,maintainer_email,,,,,maintainers['email'],
Unique identifier,No,,,dcterms:identifier,,,id,,,,,,
Release date,No,,sdo:datePublished,dcterms:issued,dcterms:created,,,,,,,,
Modified,No,,sdo:dateModified,dcterms:modified,dcterms:modified,,revision_timestamp,,,,,last_modified,
Last updated,No,,,,,,,,,,,,
Description,No,,sdo:description,dcterms:description,dcterms:description,,,describedBy,description (meta),,,description,/info/description/value
Keyword,No,,sdo:keywords,dcat:keyword,radion:keyword,,tags,,"keywords (meta), tag (a)",,,keywords,
Frequency of update,Yes,FrequentSeriesPublication / dumpFrequency,,dct:accrualPeriodicity,,,,,,,,,
Title (machine-readable),?,,,,,,name,,,,,,
Title (human-readable),Yes,dataTitle,sdo:name,dcterms:title,rdfs:label,,title,,,,,name,/info/name/value
Spatial coverage,No,,ds:spatialCoverage,dcterms:spatial,dcterms:spatial,,spatial,,,,,,
Spatial type,No,,,,,,spatial,,,,,,
Spatial coordinates,No,,,,,,spatial,,,,,,/concepts/concept[extends='geo:location']
Geographic Region Name,No,,,,,,spatial-text|spatial-uri,,,,,,
Geographic Bounding Box - Lower Left Corner  ,No,,,,,,spatial,,,,,,
Bounding Box - Upper Right Corner  ,No,,,,,,spatial,,,,,,
Bounding Box - Coordinate Reference System  ,No,,,,,,spatial,,,,,,
Geographic Bounding Box - Dimensions  ,No,,,,,,spatial,,,,,,
Temporal coverage,yes,timeSensitive,ds:temporalCoverage,dcterms:temporal,,,,,,,,,
Temporal coverage starts,No,,,,,,,,,,,,
Temporal coverage ends,No,,,,,,,,,,,,
Reference period,No,,,,,,,,,,,,
Temporal granularity,No,,,,,,,,,,,,
Temporal granularity factor,No,,,,,,,,,,,,
Periodicity of data collection,No,,,,,,,,,,,,
Periodicity of the production process,Yes,seriesType,,,,,,,,,,,
Periodicity of the estimates,Yes,seriesType,,,,,,,,,,,
Temporal and spatial comparability,No,,,,,,,,,,,,
Periodicity of data dissemination,No,,,,,,,,,,,,
Data quality,Yes,qualityUrl,,dcat:dataQuality,,,,,,,,,
Documentation URL,Yes,documentationUrl,,dcat:dataDictionary ,,,,help,"help (link, a)",,,,
